time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.355,32.723,58.58327102661133,0.079,0.7,0.0
0.404,32.674,58.58327102661133,0.079,0.7,0.0
0.454,32.698,58.58327102661133,0.079,0.7,9.505882352941176
0.504,32.674,58.58327102661133,0.079,0.7,9.505882352941176
0.554,33.065,58.736209869384766,0.0788,0.7,9.505882352941176
0.604,34.115,58.58327102661133,0.079,0.7,9.505882352941176
0.654,34.017,58.736209869384766,0.0788,0.7,9.458823529411765
0.704,35.189,58.65968322753906,0.0789,0.7,9.458823529411765
0.754,35.409,58.736209869384766,0.0788,0.7,9.364705882352942
0.804,36.435,58.736209869384766,0.0788,0.7,9.270588235294118
0.854,36.728,58.736209869384766,0.0788,0.7,9.270588235294118
0.904,37.411,58.736209869384766,0.0788,0.7,9.270588235294118
0.954,38.071,58.736209869384766,0.0788,0.7,9.129411764705882
1.004,38.584,58.736209869384766,0.0788,0.7,9.08235294117647
1.054,38.779,58.81273651123047,0.0787,0.7,9.08235294117647
1.104,39.585,58.81273651123047,0.0787,0.7,8.941176470588236
1.154,40.171,58.96584701538086,0.0785,0.7,8.941176470588236
1.204,40.83,58.96584701538086,0.0785,0.7,8.847058823529412
1.254,41.148,58.96584701538086,0.0785,0.7,8.847058823529412
1.304,41.661,59.04228591918945,0.0784,0.7,8.75294117647059
1.354,42.222,59.11884307861328,0.0783,0.7,8.75294117647059
1.404,42.857,77.83047485351562,0.0782,0.7,8.705882352941176
1.454,42.906,77.83047485351562,0.0782,0.7,8.658823529411764
1.504,43.834,59.19536590576172,0.0782,0.7,8.658823529411764
1.554,43.761,59.19536590576172,0.0782,0.7,10.352941176470589
1.604,44.811,59.19536590576172,0.0782,0.7,8.51764705882353
1.654,44.982,59.19536590576172,0.0782,0.7,8.51764705882353
1.704,45.958,59.11884307861328,0.0783,0.7,8.423529411764706
1.754,46.422,59.11884307861328,0.0783,0.7,8.376470588235295
1.804,46.716,59.11884307861328,0.0783,0.7,8.376470588235295
1.854,47.228,58.96584701538086,0.0785,0.7,8.235294117647058
1.904,47.668,58.81273651123047,0.0787,0.7,8.235294117647058
1.954,47.766,58.65968322753906,0.0789,0.7,8.141176470588235
2.004,48.4,58.65968322753906,0.0789,0.7,8.094117647058823
2.054,48.742,58.579071044921875,0.0791,0.7,8.094117647058823
2.104,48.889,58.579071044921875,0.0791,0.7,8.047058823529412
2.154,49.231,58.50254440307617,0.0792,0.7,8.047058823529412
2.204,49.182,58.42607498168945,0.0793,0.7,7.952941176470588
2.254,49.182,62.46247100830078,0.0796,0.7,7.952941176470588
2.304,50.012,62.252986907958984,0.0799,0.7,7.952941176470588
2.354,50.183,61.97376251220703,0.0803,0.7,8.329411764705883
2.404,50.501,61.69459533691406,0.0807,0.7,8.329411764705883
2.454,50.916,61.69459533691406,0.0807,0.7,8.188235294117646
2.504,51.306,57.278602600097656,0.0808,0.7,8.188235294117646
2.554,51.453,68.03268432617188,0.0816,0.7,8.094117647058823
2.604,52.137,67.9629135131836,0.0817,0.7,8.094117647058823
2.654,52.381,67.54400634765625,0.0823,0.7,8.611764705882353
2.704,52.576,74.23120880126953,0.0827,0.7,8.564705882352941
2.754,53.162,74.09161376953125,0.0829,0.7,8.564705882352941
2.804,53.309,73.60281372070312,0.0836,0.7,9.08235294117647
2.854,53.748,59.53059768676758,0.0838,0.7,9.08235294117647
2.904,54.603,73.18421936035156,0.0842,0.7,8.988235294117647
2.954,54.383,73.04450988769531,0.0844,0.7,7.623529411764705
3.004,55.165,72.4860610961914,0.0852,0.7,7.623529411764705
3.054,55.238,72.06721496582031,0.0858,0.7,8.8
3.104,55.482,71.78815460205078,0.0862,0.7,8.8
3.154,56.093,71.29944610595703,0.0869,0.7,8.658823529411764
3.204,56.679,71.29944610595703,0.0869,0.7,8.611764705882353
3.254,56.777,70.46171569824219,0.0881,0.7,8.611764705882353
3.304,57.509,70.3221435546875,0.0883,0.7,8.423529411764706
3.354,57.827,70.04286193847656,0.0887,0.7,8.423529411764706
3.404,58.168,80.3531494140625,0.0895,0.7,8.282352941176471
3.454,58.51,69.34487915039062,0.0897,0.7,8.282352941176471
3.504,58.73,68.92607879638672,0.0903,0.7,9.129411764705882
3.554,59.096,75.5434799194336,0.0908,0.7,9.129411764705882
3.604,60.0,75.12454223632812,0.0914,0.7,8.0
3.654,60.171,74.98494720458984,0.0916,0.7,8.0
3.704,60.513,74.42649841308594,0.0924,0.7,8.470588235294118
3.754,60.684,74.35675811767578,0.0925,0.7,8.470588235294118
3.804,61.245,74.14724731445312,0.0928,0.7,8.470588235294118
3.854,61.636,66.9017105102539,0.0932,0.7,8.329411764705883
3.904,62.125,73.51908111572266,0.0937,0.7,8.329411764705883
3.954,62.076,73.10020446777344,0.0943,0.7,7.576470588235294
4.004,62.393,65.92449188232422,0.0946,0.7,8.141176470588235
4.054,62.882,65.22644805908203,0.0956,0.7,8.141176470588235
4.104,63.468,65.22644805908203,0.0956,0.7,7.3882352941176475
4.154,63.419,64.9471664428711,0.096,0.7,7.3882352941176475
4.204,63.687,64.03977966308594,0.0973,0.7,7.247058823529412
4.254,64.029,70.37786865234375,0.0982,0.7,7.2
4.304,64.005,70.30804443359375,0.0983,0.7,7.2
4.354,64.151,74.69374084472656,0.0994,0.7,7.670588235294118
4.404,64.371,78.92060852050781,0.1002,0.7,7.670588235294118
4.454,64.444,80.46248626708984,0.1016,0.7,8.047058823529412
4.504,64.957,79.77655792236328,0.1028,0.7,8.423529411764706
4.554,65.25,87.1119384765625,0.1038,0.7,8.423529411764706
4.604,65.568,97.91049194335938,0.1056,0.7,8.470588235294118
4.654,65.739,98.2291488647461,0.1069,0.7,8.470588235294118
4.704,66.374,100.0,0.1086,0.7,10.117647058823529
4.754,64.786,100.0,0.1103,0.7,10.117647058823529
4.804,67.668,100.0,0.112,0.7,10.211764705882352
4.854,68.254,100.0,0.1146,0.7,10.211764705882352
4.904,69.255,100.0,0.1167,0.7,10.117647058823529
4.954,69.646,100.0,0.1191,0.7,10.023529411764706
5.004,70.647,89.03593444824219,0.1217,0.7,10.023529411764706
5.054,71.16,78.70466613769531,0.1243,0.7,9.929411764705883
5.104,71.917,91.47210693359375,0.127,0.7,9.929411764705883
5.154,72.527,89.3173599243164,0.1301,0.7,7.764705882352941
5.204,73.284,88.50489807128906,0.1329,0.7,7.764705882352941
5.254,73.162,87.48922729492188,0.1364,0.7,8.658823529411764
5.304,73.919,85.75901794433594,0.1402,0.7,8.658823529411764
5.354,74.188,84.14480590820312,0.1436,0.7,8.423529411764706
5.404,74.383,81.21730041503906,0.1472,0.7,8.423529411764706
5.454,74.725,80.14582061767578,0.1522,0.7,8.0
5.504,75.14,79.47833251953125,0.1545,0.7,8.0
5.554,75.458,80.13224029541016,0.1586,0.7,7.576470588235294
5.604,75.629,77.75160217285156,0.1627,0.7,7.576470588235294
5.654,75.678,73.97866821289062,0.1672,0.7,7.482352941176471
5.704,75.971,73.36773681640625,0.1717,0.7,7.482352941176471
5.754,75.8,72.55089569091797,0.1763,0.7,-7.2
5.804,75.8,71.82281494140625,0.1804,0.7,-7.2
5.854,75.995,73.3331298828125,0.1853,0.7,-7.341176470588235
5.904,75.116,70.73682403564453,0.1894,0.7,-7.341176470588235
5.954,75.482,73.02393341064453,0.1944,0.7,-7.294117647058823
6.004,74.994,72.85401916503906,0.1994,0.7,-7.482352941176471
6.054,74.847,74.34838104248047,0.2041,0.7,-7.482352941176471
6.104,74.286,76.18714904785156,0.2093,0.7,-7.247058823529412
6.154,73.578,72.0770034790039,0.2142,0.7,-7.247058823529412
6.204,73.7,70.79413604736328,0.2188,0.7,7.247058823529412
6.254,73.7,69.4273910522461,0.2237,0.7,7.247058823529412
6.304,76.41,67.97705078125,0.2289,0.7,-7.341176470588235
6.354,73.895,66.61036682128906,0.2338,0.7,-7.341176470588235
6.404,73.236,65.2159423828125,0.2388,0.7,-7.858823529411764
6.454,73.407,63.57028579711914,0.2447,0.7,-7.764705882352941
6.504,72.796,62.37101364135742,0.249,0.7,-7.764705882352941
6.554,72.772,60.83702087402344,0.2545,0.7,-8.0
6.604,71.941,56.226905822753906,0.2599,0.7,-8.0
6.654,72.015,53.0526237487793,0.2651,0.7,-8.188235294117646
6.704,71.429,51.645938873291016,0.2709,0.7,-8.51764705882353
6.754,71.062,50.55438995361328,0.2754,0.7,-8.51764705882353
6.804,70.427,51.163448333740234,0.281,0.7,-8.941176470588236
6.854,70.037,51.10281753540039,0.2859,0.7,-8.941176470588236
6.904,69.328,50.65708541870117,0.2908,0.7,-8.894117647058824
6.954,68.449,50.68711853027344,0.2953,0.7,-8.847058823529412
7.004,68.156,50.44825744628906,0.3004,0.7,-8.847058823529412
7.054,67.497,48.61497497558594,0.3051,0.7,-8.75294117647059
7.104,66.911,49.949615478515625,0.3102,0.7,-8.75294117647059
7.154,66.227,49.35511779785156,0.3149,0.7,-8.847058823529412
7.204,65.836,48.95207595825195,0.32,0.7,-8.847058823529412
7.254,65.104,49.05136489868164,0.3248,0.7,-8.658823529411764
7.304,64.713,48.97955322265625,0.3287,0.7,-8.658823529411764
7.354,64.347,49.07901382446289,0.3335,0.7,-8.564705882352941
7.404,63.15,49.1844367980957,0.3386,0.7,-8.51764705882353
7.454,63.199,49.27342224121094,0.3429,0.7,-8.51764705882353
7.504,62.295,49.39127731323242,0.3486,0.7,-8.376470588235295
7.554,62.442,49.48020935058594,0.3529,0.7,-8.376470588235295
7.604,61.734,49.56707000732422,0.3571,0.7,-8.282352941176471
7.654,61.465,49.51191711425781,0.3618,0.7,-8.282352941176471
7.704,60.44,49.61319351196289,0.3667,0.7,-8.188235294117646
7.754,60.708,49.6980094909668,0.3708,0.7,-8.188235294117646
7.804,59.878,49.80152893066406,0.3758,0.7,-8.094117647058823
7.854,60.0,49.58986282348633,0.3803,0.7,-8.094117647058823
7.904,58.803,50.11722946166992,0.3851,0.7,-8.0
7.954,59.048,49.78219985961914,0.3896,0.7,-8.047058823529412
8.004,58.437,49.86911392211914,0.3938,0.7,-8.047058823529412
8.054,58.022,50.52864456176758,0.3984,0.7,-7.952941176470588
8.104,57.729,50.8110466003418,0.4031,0.7,-7.952941176470588
8.154,57.656,50.65768051147461,0.407,0.7,-7.764705882352941
8.204,57.143,51.339664459228516,0.4119,0.7,-7.764705882352941
8.254,57.021,54.10554122924805,0.4168,0.7,-7.7176470588235295
8.304,56.02,56.891685485839844,0.4207,0.7,-7.7176470588235295
8.354,56.532,58.809669494628906,0.4251,0.7,-7.341176470588235
8.404,55.873,63.26190948486328,0.4297,0.7,-7.341176470588235
8.454,55.995,65.04904174804688,0.4335,0.7,7.294117647058823
8.504,56.166,66.25645446777344,0.4381,0.7,7.294117647058823
8.554,55.849,62.53604507446289,0.4423,0.7,7.905882352941177
8.604,56.606,68.56636047363281,0.4469,0.7,7.905882352941177
8.654,56.532,64.71470642089844,0.4506,0.7,7.670588235294118
8.704,57.241,60.141700744628906,0.4541,0.7,8.188235294117646
8.754,57.509,71.25336456298828,0.4589,0.7,8.188235294117646
8.804,58.022,66.59489440917969,0.462,0.7,7.341176470588235
8.854,58.217,71.52584838867188,0.4663,0.7,7.341176470588235
8.904,58.657,75.76882934570312,0.47,0.7,7.858823529411764
8.954,58.852,74.52745056152344,0.4739,0.7,8.329411764705883
9.004,59.341,74.49635314941406,0.477,0.7,8.329411764705883
9.054,59.487,78.51614379882812,0.4807,0.7,8.51764705882353
9.104,59.78,81.84172058105469,0.4836,0.7,8.51764705882353
9.154,60.464,85.74056243896484,0.487,0.7,8.847058823529412
9.204,60.708,96.21215057373047,0.49,0.7,9.129411764705882
9.254,61.392,98.72760009765625,0.4934,0.7,9.129411764705882
9.304,62.125,99.57971954345703,0.497,0.7,10.4
