time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
355,1340,0,0.0790,1020.72,22.78,1,3.49
404,1338,0,0.0790,1020.72,22.84,1,3.49
454,1339,202,0.0785,1020.68,22.88,1,3.49
504,1338,202,0.0785,1020.68,22.90,1,3.49
554,1354,202,0.0788,1020.70,22.92,1,3.49
604,1397,202,0.0791,1020.73,22.93,1,3.49
654,1393,201,0.0787,1020.69,22.94,1,3.49
704,1441,201,0.0789,1020.71,22.95,1,3.49
754,1450,199,0.0787,1020.69,22.94,1,3.49
804,1492,197,0.0784,1020.67,22.95,1,3.49
854,1504,197,0.0788,1020.70,22.95,1,3.49
904,1532,197,0.0788,1020.70,22.96,1,3.49
954,1559,194,0.0782,1020.65,22.96,1,3.49
1004,1580,193,0.0785,1020.68,22.96,1,3.49
1054,1588,193,0.0782,1020.65,22.96,1,3.49
1104,1621,190,0.0782,1020.65,22.96,1,3.49
1154,1645,190,0.0782,1020.65,22.96,1,3.49
1204,1672,188,0.0782,1020.65,22.97,1,3.49
1254,1685,188,0.0779,1020.62,22.97,1,3.49
1304,1706,186,0.0780,1020.63,22.97,1,3.49
1354,1729,186,0.0783,1020.66,22.97,1,3.49
1404,1755,185,0.0781,1020.64,22.97,1,3.49
1454,1757,184,0.0785,1020.68,22.97,1,3.49
1504,1795,184,0.0783,1020.66,22.97,1,3.49
1554,1792,220,0.0787,1020.69,22.97,1,3.49
1604,1835,181,0.0789,1020.71,22.97,1,3.49
1654,1842,181,0.0789,1020.71,22.97,1,3.49
1704,1882,179,0.0791,1020.73,22.97,1,3.49
1754,1901,178,0.0792,1020.74,22.97,1,3.49
1804,1913,178,0.0791,1020.73,22.97,1,3.49
1854,1934,175,0.0793,1020.75,22.97,1,3.49
1904,1952,175,0.0796,1020.78,22.97,1,3.49
1954,1956,173,0.0799,1020.81,22.97,1,3.49
2004,1982,172,0.0803,1020.85,22.97,1,3.49
2054,1996,172,0.0807,1020.89,22.97,1,3.49
2104,2002,171,0.0807,1020.89,22.97,1,3.49
2154,2016,171,0.0808,1020.90,22.97,1,3.49
2204,2014,169,0.0817,1020.99,22.97,1,3.49
2254,2014,169,0.0816,1020.98,22.97,1,3.49
2304,2048,169,0.0823,1021.05,22.97,1,3.49
2354,2055,177,0.0827,1021.09,22.97,1,3.49
2404,2068,177,0.0829,1021.11,22.97,1,3.49
2454,2085,174,0.0836,1021.17,22.97,1,3.49
2504,2101,174,0.0838,1021.19,22.98,1,3.49
2554,2107,172,0.0842,1021.23,22.97,1,3.49
2604,2135,172,0.0844,1021.25,22.97,1,3.49
2654,2145,183,0.0852,1021.33,22.97,1,3.49
2704,2153,182,0.0858,1021.39,22.98,1,3.49
2754,2177,182,0.0862,1021.43,22.97,1,3.49
2804,2183,193,0.0869,1021.50,22.97,1,3.49
2854,2201,193,0.0869,1021.50,22.97,1,3.49
2904,2236,191,0.0881,1021.61,22.97,1,3.49
2954,2227,162,0.0883,1021.63,22.97,1,3.49
3004,2259,162,0.0887,1021.67,22.97,1,3.49
3054,2262,187,0.0895,1021.75,22.97,1,3.49
3104,2272,187,0.0897,1021.77,22.97,1,3.49
3154,2297,184,0.0903,1021.83,22.98,1,3.49
3204,2321,183,0.0908,1021.88,22.97,1,3.49
3254,2325,183,0.0914,1021.94,22.98,1,3.49
3304,2355,179,0.0916,1021.96,22.97,1,3.49
3354,2368,179,0.0924,1022.03,22.98,1,3.49
3404,2382,176,0.0925,1022.04,22.97,1,3.49
3454,2396,176,0.0928,1022.07,22.97,1,3.49
3504,2405,194,0.0932,1022.11,22.97,1,3.49
3554,2420,194,0.0937,1022.16,22.97,1,3.49
3604,2457,170,0.0943,1022.22,22.97,1,3.49
3654,2464,170,0.0946,1022.25,22.97,1,3.49
3704,2478,180,0.0956,1022.35,22.98,1,3.49
3754,2485,180,0.0956,1022.35,22.97,1,3.49
3804,2508,180,0.0960,1022.39,22.97,1,3.49
3854,2524,177,0.0973,1022.51,22.98,1,3.49
3904,2544,177,0.0983,1022.61,22.98,1,3.49
3954,2542,161,0.0982,1022.60,22.98,1,3.49
4004,2555,173,0.0994,1022.72,22.97,1,3.49
4054,2575,173,0.1002,1022.80,22.97,1,3.49
4104,2599,157,0.1016,1022.93,22.97,1,3.49
4154,2597,157,0.1028,1023.05,22.97,1,3.49
4204,2608,154,0.1038,1023.15,22.98,1,3.49
4254,2622,153,0.1056,1023.32,22.98,1,3.49
4304,2621,153,0.1069,1023.45,22.97,1,3.49
4354,2627,163,0.1086,1023.62,22.97,1,3.49
4404,2636,163,0.1103,1023.78,22.98,1,3.49
4454,2639,171,0.1120,1023.95,22.98,1,3.49
4504,2660,179,0.1146,1024.20,22.98,1,3.49
4554,2672,179,0.1167,1024.41,22.98,1,3.49
4604,2685,180,0.1191,1024.64,22.98,1,3.49
4654,2692,180,0.1217,1024.90,22.98,1,3.49
4704,2718,215,0.1243,1025.15,22.97,1,3.49
4754,2653,215,0.1270,1025.42,22.97,1,3.49
4804,2771,217,0.1301,1025.72,22.97,1,3.49
4854,2795,217,0.1329,1025.99,22.97,1,3.49
4904,2836,215,0.1364,1026.34,22.97,1,3.49
4954,2852,213,0.1402,1026.71,22.97,1,3.49
5004,2893,213,0.1436,1027.04,22.97,1,3.49
5054,2914,211,0.1472,1027.39,22.97,1,3.49
5104,2945,211,0.1522,1027.88,22.98,1,3.49
5154,2970,165,0.1545,1028.11,22.97,1,3.49
5204,3001,165,0.1586,1028.51,22.97,1,3.49
5254,2996,184,0.1627,1028.91,22.97,1,3.49
5304,3027,184,0.1672,1029.35,22.97,1,3.49
5354,3038,179,0.1717,1029.79,22.97,1,3.49
5404,3046,179,0.1763,1030.24,22.97,1,3.49
5454,3060,170,0.1804,1030.64,22.97,1,3.49
5504,3077,170,0.1853,1031.12,22.97,1,3.49
5554,3090,161,0.1894,1031.52,22.97,1,3.49
5604,3097,161,0.1944,1032.01,22.97,1,3.49
5654,3099,159,0.1994,1032.50,22.97,1,3.49
5704,3111,159,0.2041,1032.96,22.97,1,3.49
5754,3104,-153,0.2093,1033.46,22.97,1,3.49
5804,3104,-153,0.2142,1033.94,22.97,1,3.49
5854,3112,-156,0.2188,1034.39,22.97,1,3.49
5904,3076,-156,0.2237,1034.87,22.97,1,3.49
5954,3091,-155,0.2289,1035.38,22.97,1,3.49
6004,3071,-159,0.2338,1035.86,22.97,1,3.49
6054,3065,-159,0.2388,1036.35,22.97,1,3.49
6104,3042,-154,0.2447,1036.92,22.97,1,3.49
6154,3013,-154,0.2490,1037.35,22.97,1,3.49
6204,3018,154,0.2545,1037.88,22.97,1,3.49
6254,3018,154,0.2599,1038.41,22.96,1,3.49
6304,3129,-156,0.2651,1038.92,22.97,1,3.49
6354,3026,-156,0.2709,1039.49,22.97,1,3.49
6404,2999,-167,0.2754,1039.93,22.97,1,3.49
6454,3006,-165,0.2810,1040.47,22.96,1,3.49
6504,2981,-165,0.2859,1040.95,22.96,1,3.49
6554,2980,-170,0.2908,1041.43,22.96,1,3.49
6604,2946,-170,0.2953,1041.87,22.96,1,3.49
