time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.355,0.079,0.7,0.621,0.0
0.404,0.079,0.7,0.621,0.0
0.454,0.079,0.7,0.621,0.0
0.504,0.079,0.7,0.621,0.0
0.554,0.0788,0.7,0.6212,0.0
0.604,0.079,0.7,0.621,0.0
0.654,0.0788,0.7,0.6212,0.0
0.704,0.0789,0.7,0.6211,0.0
0.754,0.0788,0.7,0.6212,0.0
0.804,0.0788,0.7,0.6212,0.0
0.854,0.0788,0.7,0.6212,0.0
0.904,0.0788,0.7,0.6212,0.0
0.954,0.0788,0.7,0.6212,0.0
1.004,0.0788,0.7,0.6212,0.0
1.054,0.0787,0.7,0.6213,0.0
1.104,0.0787,0.7,0.6213,0.0
1.154,0.0785,0.7,0.6215,0.0
1.204,0.0785,0.7,0.6215,0.0
1.254,0.0785,0.7,0.6215,0.0
1.304,0.0784,0.7,0.6216,0.0
1.354,0.0783,0.7,0.6217,0.0
1.404,0.0782,0.7,0.6218,-0.002
1.454,0.0782,0.7,0.6218,-0.002
1.504,0.0782,0.7,0.6218,0.0
1.554,0.0782,0.7,0.6218,0.0
1.604,0.0782,0.7,0.6218,0.0
1.654,0.0782,0.7,0.6218,0.0
1.704,0.0783,0.7,0.6217,0.0
1.754,0.0783,0.7,0.6217,0.0
1.804,0.0783,0.7,0.6217,0.0
1.854,0.0785,0.7,0.6215,0.0
1.904,0.0787,0.7,0.6213,0.0
1.954,0.0789,0.7,0.6211,0.0
2.004,0.0789,0.7,0.6211,0.0
2.054,0.0791,0.7,0.6209,0.002
2.104,0.0791,0.7,0.6209,0.002
2.154,0.0792,0.7,0.6208,0.002
2.204,0.0793,0.7,0.6207,0.002
2.254,0.0796,0.7,0.6204,0.004
2.304,0.0799,0.7,0.6201,0.004
2.354,0.0803,0.7,0.6197,0.004
2.404,0.0807,0.7,0.6193,0.004
2.454,0.0807,0.7,0.6193,0.004
2.504,0.0808,0.7,0.6192,0.002
2.554,0.0816,0.7,0.6184,0.006
2.604,0.0817,0.7,0.6183,0.006
2.654,0.0823,0.7,0.6177,0.006
2.704,0.0827,0.7,0.6173,0.008
2.754,0.0829,0.7,0.6171,0.008
2.804,0.0836,0.7,0.6164,0.008
2.854,0.0838,0.7,0.6162,0.004
2.904,0.0842,0.7,0.6158,0.008
2.954,0.0844,0.7,0.6156,0.008
3.004,0.0852,0.7,0.6148,0.008
3.054,0.0858,0.7,0.6142,0.008
3.104,0.0862,0.7,0.6138,0.008
3.154,0.0869,0.7,0.6131,0.008
3.204,0.0869,0.7,0.6131,0.008
3.254,0.0881,0.7,0.6119,0.008
3.304,0.0883,0.7,0.6117,0.008
3.354,0.0887,0.7,0.6113,0.008
3.404,0.0895,0.7,0.6105,0.012
3.454,0.0897,0.7,0.6103,0.008
3.504,0.0903,0.7,0.6097,0.008
3.554,0.0908,0.7,0.6092,0.01
