time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_setpoint_mm
0.355,0.079,0.7,0.621,0.0,58.58327102661133
0.404,0.079,0.7,0.621,0.0,58.58327102661133
0.454,0.079,0.7,0.621,0.0,58.58327102661133
0.504,0.079,0.7,0.621,0.0,58.58327102661133
0.554,0.0788,0.7,0.6212,0.0,58.736209869384766
0.604,0.079,0.7,0.621,0.0,58.58327102661133
0.654,0.0788,0.7,0.6212,0.0,58.736209869384766
0.704,0.0789,0.7,0.6211,0.0,58.65968322753906
0.754,0.0788,0.7,0.6212,0.0,58.736209869384766
0.804,0.0788,0.7,0.6212,0.0,58.736209869384766
0.854,0.0788,0.7,0.6212,0.0,58.736209869384766
0.904,0.0788,0.7,0.6212,0.0,58.736209869384766
0.954,0.0788,0.7,0.6212,0.0,58.736209869384766
1.004,0.0788,0.7,0.6212,0.0,58.736209869384766
1.054,0.0787,0.7,0.6213,0.0,58.81273651123047
1.104,0.0787,0.7,0.6213,0.0,58.81273651123047
1.154,0.0785,0.7,0.6215,0.0,58.96584701538086
1.204,0.0785,0.7,0.6215,0.0,58.96584701538086
1.254,0.0785,0.7,0.6215,0.0,58.96584701538086
1.304,0.0784,0.7,0.6216,0.0,59.04228591918945
1.354,0.0783,0.7,0.6217,0.0,59.11884307861328
1.404,0.0782,0.7,0.6218,-0.002,77.83047485351562
1.454,0.0782,0.7,0.6218,-0.002,77.83047485351562
1.504,0.0782,0.7,0.6218,0.0,59.19536590576172
1.554,0.0782,0.7,0.6218,0.0,59.19536590576172
1.604,0.0782,0.7,0.6218,0.0,59.19536590576172
1.654,0.0782,0.7,0.6218,0.0,59.19536590576172
1.704,0.0783,0.7,0.6217,0.0,59.11884307861328
1.754,0.0783,0.7,0.6217,0.0,59.11884307861328
1.804,0.0783,0.7,0.6217,0.0,59.11884307861328
1.854,0.0785,0.7,0.6215,0.0,58.96584701538086
1.904,0.0787,0.7,0.6213,0.0,58.81273651123047
1.954,0.0789,0.7,0.6211,0.0,58.65968322753906
2.004,0.0789,0.7,0.6211,0.0,58.65968322753906
2.054,0.0791,0.7,0.6209,0.002,58.57907104492188
2.104,0.0791,0.7,0.6209,0.002,58.57907104492188
2.154,0.0792,0.7,0.6208,0.002,58.50254440307617
