time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
352,1981,0,0.4892,1060.97,22.47,1,12.33
401,1980,0,0.4894,1060.99,22.54,1,12.33
451,1971,-155,0.4892,1060.97,22.57,1,12.30
501,1972,-155,0.4891,1060.96,22.59,1,12.30
551,1980,-153,0.4889,1060.94,22.61,1,12.30
601,1959,-153,0.4889,1060.94,22.62,1,12.30
651,1953,-154,0.4885,1060.91,22.63,1,12.30
701,1950,-154,0.4893,1060.98,22.64,1,12.33
751,1950,151,0.4893,1060.98,22.64,1,12.30
801,1962,151,0.4886,1060.92,22.64,1,12.30
851,1958,151,0.4890,1060.95,22.65,1,12.30
901,1969,-151,0.4885,1060.91,22.65,1,12.30
951,1960,-151,0.4889,1060.94,22.65,1,12.33
1001,1978,-152,0.4890,1060.95,22.65,1,12.30
1051,1968,-151,0.4894,1060.99,22.65,1,12.30
1101,1957,-151,0.4891,1060.96,22.66,1,12.30
1151,1950,-152,0.4893,1060.98,22.66,1,12.30
1201,1955,-152,0.4889,1060.94,22.66,1,12.30
1251,1942,151,0.4887,1060.93,22.66,1,12.30
1301,1944,0,0.4891,1060.96,22.66,1,12.30
1351,1945,0,0.4892,1060.97,22.66,1,12.33
1401,1944,152,0.4894,1060.99,22.66,1,12.30
1451,1946,152,0.4890,1060.95,22.66,1,12.30
1501,1943,152,0.4894,1060.99,22.66,1,12.30
1551,1955,152,0.4894,1060.99,22.66,1,12.30
1601,1975,152,0.4891,1060.96,22.66,1,12.30
1651,1981,0,0.4890,1060.95,22.66,1,12.33
1701,1981,0,0.4893,1060.98,22.66,1,12.30
1751,1986,-155,0.4896,1061.01,22.66,1,12.33
1801,2032,-155,0.4892,1060.97,22.66,1,12.30
1851,1987,-155,0.4892,1060.97,22.66,1,12.30
1901,1933,-165,0.4889,1060.94,22.66,1,12.30
1951,1961,-165,0.4889,1060.94,22.66,1,12.30
2001,1946,154,0.4890,1060.95,22.67,1,12.30
2051,1952,-152,0.4885,1060.91,22.66,1,12.30
2101,1950,-152,0.4887,1060.93,22.66,1,12.30
2151,1949,-152,0.4894,1060.99,22.66,1,12.30
2201,1944,-152,0.4889,1060.94,22.67,1,12.30
2251,1948,-152,0.4882,1060.88,22.67,1,12.30
2301,1934,-152,0.4882,1060.88,22.66,1,12.30
2351,1938,-152,0.4878,1060.84,22.66,1,12.31
2401,1927,-152,0.4879,1060.85,22.66,1,12.30
2451,1918,151,0.4882,1060.88,22.67,1,12.33
2501,1918,151,0.4883,1060.89,22.67,1,12.30
2551,1924,156,0.4878,1060.84,22.67,1,12.31
2601,1946,156,0.4875,1060.81,22.67,1,12.31
2651,1951,155,0.4874,1060.80,22.66,1,12.30
2701,1953,155,0.4865,1060.71,22.67,1,12.30
2751,1966,0,0.4870,1060.76,22.66,1,12.30
2801,1969,-151,0.4863,1060.69,22.67,1,12.31
2851,1956,-151,0.4862,1060.68,22.67,1,12.30
2901,1962,-154,0.4866,1060.72,22.67,1,12.30
2951,1957,-154,0.4857,1060.63,22.67,1,12.30
3001,1941,-152,0.4853,1060.59,22.66,1,12.30
3051,1931,-151,0.4852,1060.58,22.67,1,12.30
3101,1937,-151,0.4842,1060.48,22.67,1,12.30
3151,1929,154,0.4843,1060.49,22.67,1,12.30
3201,1927,154,0.4843,1060.49,22.66,1,12.33
3251,1932,154,0.4841,1060.47,22.67,1,12.30
3301,1943,154,0.4839,1060.45,22.67,1,12.30
3351,1947,154,0.4832,1060.39,22.67,1,12.30
3401,1976,151,0.4831,1060.38,22.67,1,12.33
3451,1981,151,0.4830,1060.37,22.67,1,12.30
3501,2052,-155,0.4827,1060.34,22.67,1,12.30
3551,1994,-156,0.4819,1060.26,22.66,1,12.30
