time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.352,0.4892,0.4047,-0.0845,0.0
0.401,0.4894,0.4047,-0.0847,0.0041
0.451,0.4892,0.4047,-0.0845,0.0
0.501,0.4892,0.4047,-0.0845,0.0
0.551,0.4892,0.4047,-0.0845,0.0
0.601,0.4892,0.4047,-0.0845,0.0
0.651,0.4891,0.4047,-0.0844,0.0
0.701,0.4892,0.4047,-0.0845,0.0
0.751,0.4892,0.4047,-0.0845,0.0
0.801,0.4892,0.4047,-0.0845,0.0
0.851,0.4891,0.4047,-0.0844,0.0
0.901,0.4891,0.4047,-0.0844,0.0
0.951,0.489,0.4047,-0.0843,0.0
1.001,0.489,0.4047,-0.0843,0.0
1.051,0.489,0.4047,-0.0843,0.0
1.101,0.489,0.4047,-0.0843,0.0
1.151,0.489,0.4047,-0.0843,0.0
1.201,0.489,0.4047,-0.0843,0.0
1.251,0.4889,0.4047,-0.0842,0.0
1.301,0.489,0.4047,-0.0843,0.0
1.351,0.489,0.4047,-0.0843,0.0
1.401,0.4891,0.4047,-0.0844,0.0
1.451,0.489,0.4047,-0.0843,0.0
1.501,0.489,0.4047,-0.0843,0.0
1.551,0.4891,0.4047,-0.0844,0.0
1.601,0.4891,0.4047,-0.0844,0.0
1.651,0.4891,0.4047,-0.0844,0.0
1.701,0.4891,0.4047,-0.0844,0.0
1.751,0.4892,0.4047,-0.0845,0.0
1.801,0.4892,0.4047,-0.0845,0.0
1.851,0.4892,0.4047,-0.0845,0.0
1.901,0.4892,0.4047,-0.0845,0.0
1.951,0.4892,0.4047,-0.0845,0.0
2.001,0.4892,0.4047,-0.0845,0.0
2.051,0.4892,0.4047,-0.0845,0.0
2.101,0.4891,0.4047,-0.0844,0.0
2.151,0.4891,0.4047,-0.0844,0.0
2.201,0.4891,0.4047,-0.0844,0.0
2.251,0.489,0.4047,-0.0843,0.0
2.301,0.489,0.4047,-0.0843,0.0
2.351,0.4889,0.4047,-0.0842,0.0
2.401,0.4889,0.4047,-0.0842,0.0
2.451,0.4889,0.4047,-0.0842,0.0
2.501,0.4887,0.4047,-0.084,0.0
2.551,0.4885,0.4047,-0.0838,0.0
2.601,0.4883,0.4047,-0.0836,-0.002
2.651,0.4882,0.4047,-0.0835,-0.002
2.701,0.4882,0.4047,-0.0835,-0.002
2.751,0.4882,0.4047,-0.0835,-0.002
2.801,0.4879,0.4047,-0.0832,-0.002
2.851,0.4878,0.4047,-0.0831,-0.002
2.901,0.4878,0.4047,-0.0831,-0.002
2.951,0.4875,0.4047,-0.0828,-0.002
3.001,0.4874,0.4047,-0.0827,-0.002
3.051,0.487,0.4047,-0.0823,-0.002
3.101,0.4866,0.4047,-0.0819,-0.002
3.151,0.4865,0.4047,-0.0818,-0.002
3.201,0.4863,0.4047,-0.0816,-0.004
3.251,0.4862,0.4047,-0.0815,-0.002
3.301,0.4857,0.4047,-0.081,-0.004
3.351,0.4853,0.4047,-0.0806,-0.006
3.401,0.4852,0.4047,-0.0805,-0.004
3.451,0.4843,0.4047,-0.0796,-0.008
3.501,0.4843,0.4047,-0.0796,-0.004
3.551,0.4842,0.4047,-0.0795,-0.002
3.601,0.4841,0.4047,-0.0794,-0.002
3.651,0.4839,0.4047,-0.0792,-0.002
3.701,0.4832,0.4047,-0.0785,-0.004
3.751,0.4831,0.4047,-0.0784,-0.002
3.801,0.483,0.4047,-0.0783,-0.002
3.851,0.4827,0.4047,-0.078,-0.002
3.901,0.4819,0.4047,-0.0772,-0.002
3.951,0.4819,0.4047,-0.0772,-0.002
4.001,0.4818,0.4047,-0.0771,-0.002
4.051,0.4809,0.4047,-0.0762,-0.004
4.101,0.4803,0.4047,-0.0756,-0.006
4.151,0.4801,0.4047,-0.0754,-0.004
4.201,0.4792,0.4047,-0.0745,-0.006
4.251,0.4791,0.4047,-0.0744,-0.006
4.301,0.4789,0.4047,-0.0742,-0.004
4.351,0.4782,0.4047,-0.0735,-0.004
4.401,0.4781,0.4047,-0.0734,-0.004
4.451,0.4779,0.4047,-0.0732,-0.004
4.501,0.4767,0.4047,-0.072,-0.004
4.551,0.4767,0.4047,-0.072,-0.004
4.601,0.4764,0.4047,-0.0717,-0.004
4.651,0.4763,0.4047,-0.0716,-0.004
4.701,0.4759,0.4047,-0.0712,-0.004
4.751,0.475,0.4047,-0.0703,-0.006
4.801,0.475,0.4047,-0.0703,-0.004
4.851,0.4742,0.4047,-0.0695,-0.006
4.901,0.4738,0.4047,-0.0691,-0.008
4.951,0.4737,0.4047,-0.069,-0.006
5.001,0.4731,0.4047,-0.0684,-0.008
5.051,0.4729,0.4047,-0.0682,-0.008
5.101,0.4727,0.4047,-0.068,-0.008
5.151,0.4718,0.4047,-0.0671,-0.008
5.201,0.4717,0.4047,-0.067,-0.004
5.251,0.4713,0.4047,-0.0666,-0.008
5.301,0.4709,0.4047,-0.0662,-0.008
5.351,0.4706,0.4047,-0.0659,-0.006
5.401,0.4703,0.4047,-0.0656,-0.006
5.451,0.47,0.4047,-0.0653,-0.006
5.501,0.4696,0.4047,-0.0649,-0.006
5.551,0.4691,0.4047,-0.0644,-0.008
5.601,0.469,0.4047,-0.0643,-0.006
5.651,0.4684,0.4047,-0.0637,-0.008
5.701,0.4683,0.4047,-0.0636,-0.006
5.751,0.4682,0.4047,-0.0635,-0.006
5.801,0.4677,0.4047,-0.063,-0.006
5.851,0.4675,0.4047,-0.0628,-0.006
5.901,0.4671,0.4047,-0.0624,-0.008
5.951,0.4664,0.4047,-0.0617,-0.008
6.001,0.4664,0.4047,-0.0617,-0.004
6.051,0.4656,0.4047,-0.0609,-0.008
6.101,0.4655,0.4047,-0.0608,-0.004
6.151,0.4654,0.4047,-0.0607,-0.004
6.201,0.4644,0.4047,-0.0597,-0.008
6.251,0.4644,0.4047,-0.0597,-0.004
6.301,0.4641,0.4047,-0.0594,-0.006
6.351,0.4631,0.4047,-0.0584,-0.006
6.401,0.463,0.4047,-0.0583,-0.002
6.451,0.4628,0.4047,-0.0581,-0.004
6.501,0.4627,0.4047,-0.058,-0.002
6.551,0.4627,0.4047,-0.058,-0.002
