time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_setpoint_mm
0.352,0.4892,0.4047,-0.0845,0.0,47.81122699999997
0.401,0.4894,0.4047,-0.0847,0.0041,47.81122699999997
0.451,0.4892,0.4047,-0.0845,0.0,47.80328400000004
0.501,0.4892,0.4047,-0.0845,0.0,47.79804500000005
0.551,0.4892,0.4047,-0.0845,0.0,47.79804500000005
0.601,0.4892,0.4047,-0.0845,0.0,47.79010199999997
0.651,0.4891,0.4047,-0.0844,0.0,47.79010199999997
0.701,0.4892,0.4047,-0.0845,0.0,47.78215900000004
0.751,0.4892,0.4047,-0.0845,0.0,47.77692000000005
0.801,0.4892,0.4047,-0.0845,0.0,47.77692000000005
0.851,0.4891,0.4047,-0.0844,0.0,47.77450554893608
0.901,0.4891,0.4047,-0.0844,0.0,47.77450554893608
0.951,0.489,0.4047,-0.0843,0.0,47.76478485596322
1.001,0.489,0.4047,-0.0843,0.0,47.76478485596322
1.051,0.489,0.4047,-0.0843,0.0,47.75227350000001
1.101,0.489,0.4047,-0.0843,0.0,47.75227350000001
1.151,0.489,0.4047,-0.0843,0.0,47.744349299999925
1.201,0.489,0.4047,-0.0843,0.0,47.73912269999994
1.251,0.4889,0.4047,-0.0842,0.0,47.73912269999994
1.301,0.489,0.4047,-0.0843,0.0,47.73119850000001
1.351,0.489,0.4047,-0.0843,0.0,47.73119850000001
1.401,0.4891,0.4047,-0.0844,0.0,47.71774575106381
1.451,0.489,0.4047,-0.0843,0.0,47.72610281612898
1.501,0.489,0.4047,-0.0843,0.0,47.72610281612898
1.551,0.4891,0.4047,-0.0844,0.0,47.70458555106379
1.601,0.4891,0.4047,-0.0844,0.0,47.70458555106379
1.651,0.4891,0.4047,-0.0844,0.0,47.70197109999993
1.701,0.4891,0.4047,-0.0844,0.0,47.70197109999993
1.751,0.4892,0.4047,-0.0845,0.0,47.687973444036686
1.801,0.4892,0.4047,-0.0845,0.0,47.687973444036686
1.851,0.4892,0.4047,-0.0845,0.0,47.68461759999997
1.901,0.4892,0.4047,-0.0845,0.0,47.68461759999997
1.951,0.4892,0.4047,-0.0845,0.0,47.67540709999994
2.001,0.4892,0.4047,-0.0845,0.0,47.67540709999994
2.051,0.4892,0.4047,-0.0845,0.0,47.63839609999993
2.101,0.4891,0.4047,-0.0844,0.0,47.63839609999993
2.151,0.4891,0.4047,-0.0844,0.0,47.63839609999993
2.201,0.4891,0.4047,-0.0844,0.0,47.63839609999993
2.251,0.489,0.4047,-0.0843,0.0,47.63839609999993
2.301,0.489,0.4047,-0.0843,0.0,47.63839609999993
2.351,0.4889,0.4047,-0.0842,0.0,47.63839609999993
2.401,0.4889,0.4047,-0.0842,0.0,47.63839609999993
2.451,0.4889,0.4047,-0.0842,0.0,47.63839609999993
2.501,0.4887,0.4047,-0.084,0.0,47.653175879816864
2.551,0.4885,0.4047,-0.0838,0.0,47.653175879816864
2.601,0.4883,0.4047,-0.0836,-0.002,47.64445829574444
2.651,0.4882,0.4047,-0.0835,-0.002,47.64445829574444
2.701,0.4882,0.4047,-0.0835,-0.002,47.618867355963225
2.751,0.4882,0.4047,-0.0835,-0.002,47.618867355963225
2.801,0.4879,0.4047,-0.0832,-0.002,47.62301684680867
2.851,0.4878,0.4047,-0.0831,-0.002,47.62301684680867
