time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.352,99.17,50.0,0.8415,0.2101,0.0
0.401,99.145,50.0,0.8415,0.2101,0.0
0.451,99.145,50.0,0.8402,0.2101,0.0
0.501,99.145,50.0,0.8402,0.2101,0.0
0.551,99.194,50.0,0.8401,0.2101,0.0
0.601,99.145,50.0,0.8402,0.2101,0.0
0.651,99.145,50.0,0.8402,0.2101,0.0
0.701,99.145,50.0,0.8402,0.2101,0.0
0.751,99.145,50.0,0.8402,0.2101,0.0
0.801,99.121,50.0,0.8403,0.2101,0.0
0.851,99.145,50.0,0.8403,0.2101,0.0
0.901,99.17,50.0,0.8406,0.2101,0.0
0.951,99.145,50.0,0.8406,0.2101,0.0
1.001,99.121,50.0,0.8406,0.2101,0.0
1.051,99.121,50.0,0.8405,0.2101,0.0
1.101,99.145,50.0,0.8405,0.2101,0.0
1.151,99.121,50.0,0.8405,0.2101,0.0
1.201,99.121,50.0,0.8406,0.2101,0.0
1.251,99.145,50.0,0.8406,0.2101,0.0
1.301,99.121,42.3021125793457,0.8406,0.2101,0.0
1.356,99.121,42.3021125793457,0.8407,0.2101,-12.0
1.405,97.973,42.3021125793457,0.8408,0.2101,-12.0
1.455,96.752,42.3021125793457,0.8408,0.2101,-12.0
1.505,95.58,42.3021125793457,0.8408,0.2101,-12.0
1.555,94.115,42.3021125793457,0.8407,0.2101,-12.0
1.605,92.821,42.3021125793457,0.8407,0.2101,-12.0
1.655,91.404,42.3021125793457,0.8407,0.2101,-12.0
1.705,90.134,42.3021125793457,0.8407,0.2101,-12.0
1.755,88.962,42.3021125793457,0.8407,0.2101,-12.0
1.805,87.766,42.3021125793457,0.8407,0.2101,-12.0
1.855,86.545,42.3021125793457,0.8407,0.2101,-12.0
1.905,85.47,42.3021125793457,0.8407,0.2101,-12.0
1.955,84.274,42.3021125793457,0.8406,0.2101,-12.0
2.005,83.126,42.3021125793457,0.8406,0.2101,-12.0
2.055,82.002,42.3021125793457,0.8406,0.2101,-12.0
2.105,81.954,42.3021125793457,0.8405,0.2101,-12.0
2.155,79.902,42.3021125793457,0.8402,0.2101,-12.0
2.205,78.803,42.3021125793457,0.8402,0.2101,-12.0
2.255,77.753,42.3021125793457,0.8402,0.2101,-12.0
2.305,76.801,43.80211639404297,0.8398,0.2101,-12.0
2.355,75.824,43.80211639404297,0.8398,0.2101,-12.0
2.405,74.799,43.80211639404297,0.8397,0.2101,-12.0
2.455,73.773,43.80211639404297,0.8394,0.2101,-12.0
2.505,72.869,43.80211639404297,0.8392,0.2101,-12.0
2.555,71.819,43.80211639404297,0.839,0.2101,-12.0
2.605,70.891,43.80211639404297,0.8387,0.2101,-12.0
2.655,69.866,43.80211639404297,0.8386,0.2101,-12.0
2.705,68.987,43.80211639404297,0.8381,0.2101,-12.0
2.755,68.01,43.80211639404297,0.8379,0.2101,-12.0
2.805,67.057,43.80211639404297,0.8376,0.2101,-12.0
2.855,65.958,43.80211639404297,0.8375,0.2101,-12.0
2.905,65.079,43.80211639404297,0.8375,0.2101,-12.0
2.955,63.98,43.80211639404297,0.8371,0.2101,-12.0
3.005,63.077,43.80211639404297,0.837,0.2101,-12.0
3.055,62.027,43.80211639404297,0.8365,0.2101,-12.0
3.105,61.148,43.80211639404297,0.8364,0.2101,-12.0
3.155,60.195,43.80211639404297,0.8362,0.2101,-12.0
3.205,59.267,43.80211639404297,0.8361,0.2101,-12.0
3.255,58.339,43.80211639404297,0.8359,0.2101,-12.0
3.305,57.338,45.3021125793457,0.8358,0.2101,-12.0
3.355,56.41,45.3021125793457,0.8357,0.2101,-12.0
3.405,55.458,45.3021125793457,0.8356,0.2101,-12.0
3.455,54.505,45.3021125793457,0.8354,0.2101,-11.24705882352941
3.505,53.919,45.3021125793457,0.8354,0.2101,-11.24705882352941
3.555,52.65,45.3021125793457,0.8352,0.2101,-10.541176470588235
3.605,52.552,45.3021125793457,0.8348,0.2101,-10.305882352941177
3.655,51.77,45.3021125793457,0.8348,0.2101,-10.305882352941177
3.705,51.38,45.3021125793457,0.8344,0.2101,-9.788235294117648
3.755,50.867,45.3021125793457,0.8343,0.2101,-9.788235294117648
3.805,50.256,45.3021125793457,0.8337,0.2101,-9.364705882352942
3.855,49.817,45.3021125793457,0.8337,0.2101,-9.176470588235293
3.905,49.597,45.3021125793457,0.8333,0.2101,-9.176470588235293
3.955,48.889,45.3021125793457,0.8329,0.2101,-8.75294117647059
4.005,48.523,45.3021125793457,0.8329,0.2101,-8.75294117647059
4.055,48.327,45.3021125793457,0.8325,0.2101,-8.423529411764706
4.105,48.107,45.3021125793457,0.8323,0.2101,-8.282352941176471
4.155,47.717,45.3021125793457,0.8322,0.2101,-8.282352941176471
4.205,47.546,45.3021125793457,0.8318,0.2101,-8.094117647058823
