time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
352,690,0,0.0004,1013.04,22.56,1,12.05
401,692,0,-0.0002,1012.98,22.61,1,12.05
451,691,0,-0.0002,1012.98,22.65,1,12.05
501,690,0,-0.0003,1012.97,22.67,1,12.05
551,691,0,-0.0001,1012.99,22.69,1,12.05
601,694,0,0.0000,1013.00,22.70,1,12.05
651,689,0,0.0001,1013.01,22.71,1,12.05
701,692,0,0.0002,1013.02,22.72,1,12.05
751,689,0,0.0001,1013.01,22.72,1,12.05
801,691,0,0.0001,1013.01,22.73,1,12.05
851,692,0,0.0000,1013.00,22.73,1,12.05
901,694,0,0.0002,1013.02,22.73,1,12.05
951,693,0,0.0002,1013.02,22.73,1,12.05
1001,690,0,0.0004,1013.04,22.73,1,12.05
1051,690,0,0.0002,1013.02,22.73,1,12.05
1101,691,0,-0.0003,1012.97,22.74,1,12.05
1151,690,0,0.0000,1013.00,22.74,1,12.05
1201,693,0,0.0001,1013.01,22.74,1,12.05
1251,692,0,0.0000,1013.00,22.74,1,12.05
1301,692,0,-0.0002,1012.98,22.74,1,12.05
1351,691,255,0.0000,1013.00,22.74,1,12.00
1406,716,255,0.0004,1013.04,22.73,1,12.05
1455,754,255,0.0001,1013.01,22.73,1,12.04
1505,795,255,0.0005,1013.05,22.74,1,12.04
1555,838,255,0.0002,1013.02,22.74,1,12.04
1605,875,255,-0.0001,1012.99,22.74,1,12.05
1655,918,255,-0.0001,1012.99,22.74,1,12.04
1705,955,255,0.0000,1013.00,22.74,1,12.04
1755,993,255,-0.0007,1012.93,22.74,1,12.04
1805,1036,255,-0.0004,1012.96,22.74,1,12.05
1855,1079,255,-0.0009,1012.91,22.75,1,12.04
1905,1116,255,-0.0011,1012.89,22.74,1,12.05
1955,1162,255,-0.0012,1012.88,22.75,1,12.04
2005,1197,255,-0.0014,1012.86,22.74,1,12.04
2055,1241,255,-0.0018,1012.82,22.74,1,12.05
2105,1281,255,-0.0016,1012.84,22.74,1,12.04
2155,1322,255,-0.0016,1012.84,22.74,1,12.04
2205,1368,255,-0.0018,1012.82,22.74,1,12.05
2255,1404,255,-0.0019,1012.81,22.75,1,12.04
2305,1448,255,-0.0017,1012.83,22.75,1,12.05
2355,1488,255,-0.0021,1012.79,22.74,1,12.04
2405,1532,255,-0.0021,1012.79,22.74,1,12.04
2455,1578,255,-0.0019,1012.81,22.75,1,12.04
2505,1620,255,-0.0018,1012.82,22.75,1,12.04
2555,1660,255,-0.0023,1012.77,22.75,1,12.04
2605,1705,255,-0.0020,1012.80,22.75,1,12.04
2655,1750,255,-0.0021,1012.79,22.75,1,12.04
2705,1788,255,-0.0024,1012.76,22.75,1,12.04
2755,1840,248,-0.0027,1012.74,22.75,1,12.05
2805,1806,248,-0.0025,1012.75,22.75,1,12.04
2855,1914,230,-0.0028,1012.73,22.75,1,12.05
2905,1899,230,-0.0028,1012.73,22.75,1,12.05
2955,1976,216,-0.0030,1012.71,22.75,1,12.05
3005,2005,219,-0.0031,1012.70,22.75,1,12.04
3055,1989,219,-0.0034,1012.67,22.75,1,12.05
3105,2069,198,-0.0033,1012.68,22.75,1,12.04
3155,2091,198,-0.0035,1012.66,22.75,1,12.05
3205,2099,185,-0.0040,1012.61,22.75,1,12.05
3255,2110,185,-0.0039,1012.62,22.75,1,12.05
3305,2136,180,-0.0043,1012.58,22.75,1,12.05
3355,2150,180,-0.0048,1012.53,22.75,1,12.05
