time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.352,0.0004,0.5232,0.5228,0.0
0.401,0.0004,0.5232,0.5228,0.0
0.451,-0.0002,0.5232,0.5234,0.0
0.501,-0.0002,0.5232,0.5234,0.0
0.551,-0.0002,0.5232,0.5234,0.0
0.601,-0.0001,0.5232,0.5233,0.0
0.651,-0.0001,0.5232,0.5233,0.0
0.701,0.0,0.5232,0.5232,0.0
0.751,0.0,0.5232,0.5232,0.0
0.801,0.0001,0.5232,0.5231,0.0
0.851,0.0,0.5232,0.5232,0.0
0.901,0.0001,0.5232,0.5231,0.0
0.951,0.0001,0.5232,0.5231,0.0
1.001,0.0001,0.5232,0.5231,0.0
1.051,0.0001,0.5232,0.5231,0.0
1.101,0.0001,0.5232,0.5231,0.0
1.151,0.0001,0.5232,0.5231,0.0
1.201,0.0001,0.5232,0.5231,0.0
1.251,0.0001,0.5232,0.5231,0.0
1.301,0.0001,0.5232,0.5231,0.0
1.351,0.0001,0.5232,0.5231,0.0
1.406,0.0001,0.5232,0.5231,0.0
1.455,0.0001,0.5232,0.5231,0.0
1.505,0.0001,0.5232,0.5231,0.0
1.555,0.0001,0.5232,0.5231,0.0
1.605,0.0001,0.5232,0.5231,0.0
1.655,0.0001,0.5232,0.5231,0.0
1.705,0.0,0.5232,0.5232,0.0
1.755,0.0,0.5232,0.5232,0.0
1.805,0.0,0.5232,0.5232,0.0
1.855,0.0,0.5232,0.5232,0.0
1.905,0.0,0.5232,0.5232,0.0
1.955,-0.0001,0.5232,0.5233,0.0
2.005,-0.0001,0.5232,0.5233,0.0
2.055,-0.0001,0.5232,0.5233,0.0
2.105,-0.0004,0.5232,0.5236,0.0
2.155,-0.0007,0.5232,0.5239,0.0
2.205,-0.0009,0.5232,0.5241,0.0
2.255,-0.0011,0.5232,0.5243,-0.002
2.305,-0.0012,0.5232,0.5244,-0.002
2.355,-0.0014,0.5232,0.5246,-0.004
2.405,-0.0016,0.5232,0.5248,-0.004
2.455,-0.0016,0.5232,0.5248,-0.004
2.505,-0.0017,0.5232,0.5249,-0.004
2.555,-0.0018,0.5232,0.525,-0.004
2.605,-0.0018,0.5232,0.525,-0.002
2.655,-0.0018,0.5232,0.525,-0.002
2.705,-0.0019,0.5232,0.5251,-0.002
2.755,-0.0019,0.5232,0.5251,-0.002
2.805,-0.002,0.5232,0.5252,-0.002
2.855,-0.0021,0.5232,0.5253,-0.002
2.905,-0.0021,0.5232,0.5253,-0.002
2.955,-0.0021,0.5232,0.5253,0.0
3.005,-0.0023,0.5232,0.5255,0.0
3.055,-0.0024,0.5232,0.5256,-0.002
3.105,-0.0025,0.5232,0.5257,-0.002
3.155,-0.0027,0.5232,0.5259,-0.002
3.205,-0.0028,0.5232,0.526,-0.002
3.255,-0.0028,0.5232,0.526,-0.002
3.305,-0.003,0.5232,0.5262,-0.002
3.355,-0.0031,0.5232,0.5263,-0.002
3.405,-0.0033,0.5232,0.5265,-0.002
3.455,-0.0034,0.5232,0.5266,-0.002
3.505,-0.0035,0.5232,0.5267,-0.002
3.555,-0.0039,0.5232,0.5271,-0.002
3.605,-0.004,0.5232,0.5272,-0.002
3.655,-0.0043,0.5232,0.5275,-0.002
3.705,-0.0048,0.5232,0.528,-0.004
3.755,-0.0048,0.5232,0.528,-0.002
3.805,-0.0052,0.5232,0.5284,-0.004
3.855,-0.0056,0.5232,0.5288,-0.006
3.905,-0.0056,0.5232,0.5288,-0.006
3.955,-0.0056,0.5232,0.5288,-0.006
4.005,-0.0056,0.5232,0.5288,-0.002
4.055,-0.0056,0.5232,0.5288,0.0
4.105,-0.0056,0.5232,0.5288,0.0
4.155,-0.0056,0.5232,0.5288,0.0
4.205,-0.0056,0.5232,0.5288,0.0
4.255,-0.0052,0.5232,0.5284,0.0
4.305,-0.0048,0.5232,0.528,0.0
