time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_setpoint_mm
0.352,0.0004,0.5232,0.5228,0.0,50.0
0.401,0.0004,0.5232,0.5228,0.0,50.0
0.451,-0.0002,0.5232,0.5234,0.0,50.0
0.501,-0.0002,0.5232,0.5234,0.0,50.0
0.551,-0.0002,0.5232,0.5234,0.0,50.0
0.601,-0.0001,0.5232,0.5233,0.0,50.0
0.651,-0.0001,0.5232,0.5233,0.0,50.0
0.701,0.0,0.5232,0.5232,0.0,50.0
0.751,0.0,0.5232,0.5232,0.0,50.0
0.801,0.0001,0.5232,0.5231,0.0,50.0
0.851,0.0,0.5232,0.5232,0.0,50.0
0.901,0.0001,0.5232,0.5231,0.0,50.0
0.951,0.0001,0.5232,0.5231,0.0,50.0
1.001,0.0001,0.5232,0.5231,0.0,50.0
1.051,0.0001,0.5232,0.5231,0.0,50.0
1.101,0.0001,0.5232,0.5231,0.0,50.0
1.151,0.0001,0.5232,0.5231,0.0,50.0
1.201,0.0001,0.5232,0.5231,0.0,50.0
1.251,0.0001,0.5232,0.5231,0.0,50.0
1.301,0.0001,0.5232,0.5231,0.0,56.454063415527344
1.351,0.0001,0.5232,0.5231,0.0,56.454063415527344
1.406,0.0001,0.5232,0.5231,0.0,56.454063415527344
1.455,0.0001,0.5232,0.5231,0.0,56.454063415527344
1.505,0.0001,0.5232,0.5231,0.0,56.454063415527344
1.555,0.0001,0.5232,0.5231,0.0,56.454063415527344
1.605,0.0001,0.5232,0.5231,0.0,56.454063415527344
1.655,0.0001,0.5232,0.5231,0.0,56.454063415527344
1.705,0.0,0.5232,0.5232,0.0,56.454063415527344
1.755,0.0,0.5232,0.5232,0.0,56.454063415527344
1.805,0.0,0.5232,0.5232,0.0,56.454063415527344
1.855,0.0,0.5232,0.5232,0.0,56.454063415527344
1.905,0.0,0.5232,0.5232,0.0,56.454063415527344
1.955,-0.0001,0.5232,0.5233,0.0,56.454063415527344
2.005,-0.0001,0.5232,0.5233,0.0,56.454063415527344
2.055,-0.0001,0.5232,0.5233,0.0,56.454063415527344
2.105,-0.0004,0.5232,0.5236,0.0,56.454063415527344
2.155,-0.0007,0.5232,0.5239,0.0,56.454063415527344
2.205,-0.0009,0.5232,0.5241,0.0,56.454063415527344
2.255,-0.0011,0.5232,0.5243,-0.002,56.454063415527344
2.305,-0.0012,0.5232,0.5244,-0.002,54.954063415527344
2.355,-0.0014,0.5232,0.5246,-0.004,54.954063415527344
2.405,-0.0016,0.5232,0.5248,-0.004,54.954063415527344
