time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.355,50.354,50.0,0.7299,0.4289,0.0
0.404,50.354,50.0,0.7301,0.4289,0.0
0.454,50.354,50.0,0.7301,0.4289,0.0
0.504,50.379,50.0,0.7301,0.4289,0.0
0.554,50.379,50.0,0.7301,0.4289,0.0
0.604,50.379,50.0,0.7301,0.4289,0.0
0.654,50.379,50.0,0.7301,0.4289,0.0
0.704,50.379,50.0,0.7301,0.4289,0.0
0.754,50.379,50.0,0.7301,0.4289,0.0
0.804,50.379,50.0,0.7301,0.4289,0.0
0.854,50.354,50.0,0.7301,0.4289,0.0
0.904,50.379,50.0,0.7301,0.4289,0.0
0.954,50.354,50.0,0.7301,0.4289,0.0
1.004,50.379,50.0,0.7301,0.4289,0.0
1.054,50.354,50.0,0.7301,0.4289,0.0
1.104,50.379,50.0,0.7301,0.4289,0.0
1.154,50.379,50.0,0.7301,0.4289,0.0
1.204,50.379,50.0,0.7301,0.4289,0.0
1.254,50.379,50.0,0.7301,0.4289,0.0
1.304,50.379,50.0,0.73,0.4289,0.0
1.354,50.379,50.0,0.73,0.4289,0.0
1.404,50.379,50.0,0.73,0.4289,0.0
1.454,50.379,50.0,0.73,0.4289,0.0
1.504,50.379,50.0,0.73,0.4289,0.0
1.554,50.354,50.0,0.73,0.4289,0.0
1.604,50.354,50.0,0.73,0.4289,0.0
1.654,50.379,50.0,0.73,0.4289,0.0
1.704,50.379,50.0,0.73,0.4289,0.0
1.754,50.354,38.4307861328125,0.73,0.4289,0.0
1.804,50.354,26.27410888671875,0.73,0.4289,0.0
1.854,50.501,19.21539306640625,0.73,0.4289,-8.188235294117646
1.904,50.208,18.0389404296875,0.73,0.4289,-8.188235294117646
1.954,49.695,18.0389404296875,0.73,0.4289,-10.023529411764706
2.004,49.133,21.96044921875,0.73,0.4289,-10.070588235294117
2.054,48.132,21.96044921875,0.73,0.4289,-10.070588235294117
2.104,47.888,22.35260009765625,0.73,0.4289,-9.6
2.154,47.204,22.35260009765625,0.73,0.4289,-9.6
2.204,46.593,22.35260009765625,0.73,0.4289,-9.458823529411765
2.254,45.519,22.35260009765625,0.7301,0.4289,-9.411764705882353
2.304,45.397,22.35260009765625,0.7301,0.4289,-9.411764705882353
2.354,44.835,22.35260009765625,0.7301,0.4289,-9.223529411764705
2.404,44.225,22.35260009765625,0.7301,0.4289,-9.223529411764705
2.454,43.15,22.35260009765625,0.7301,0.4289,-9.176470588235293
2.504,43.101,22.35260009765625,0.7301,0.4289,-9.176470588235293
2.554,42.442,22.35260009765625,0.7301,0.4289,-9.035294117647059
2.604,42.027,22.35260009765625,0.7302,0.4289,-9.035294117647059
2.654,41.392,19.21539306640625,0.7302,0.4289,-8.941176470588236
2.704,41.001,19.21539306640625,0.7305,0.4289,-8.894117647058824
2.754,40.513,19.21539306640625,0.7307,0.4289,-8.894117647058824
2.804,40.073,23.92120361328125,0.7307,0.4289,-9.129411764705882
2.854,39.316,27.84271240234375,0.7308,0.4289,-9.129411764705882
2.904,38.974,28.62701416015625,0.7313,0.4289,-8.564705882352941
2.954,38.73,31.3720703125,0.7314,0.4289,-8.141176470588235
3.004,37.656,32.1563720703125,0.7317,0.4289,-8.141176470588235
3.054,37.973,32.1563720703125,0.7319,0.4289,-7.764705882352941
3.104,37.167,32.1563720703125,0.732,0.4289,-7.764705882352941
3.154,37.46,32.1563720703125,0.7322,0.4289,-7.623529411764705
3.204,37.241,32.1563720703125,0.7323,0.4289,-7.529411764705882
3.254,37.143,32.1563720703125,0.7323,0.4289,-7.529411764705882
3.304,36.435,32.1563720703125,0.7324,0.4289,-7.529411764705882
3.354,36.679,32.1563720703125,0.7324,0.4289,-7.529411764705882
3.404,36.41,32.1563720703125,0.7324,0.4289,-7.482352941176471
3.454,36.361,32.1563720703125,0.7324,0.4289,-7.482352941176471
3.504,36.02,29.0191650390625,0.7324,0.4289,-7.482352941176471
3.554,36.117,29.0191650390625,0.7324,0.4289,-7.435294117647059
3.604,35.629,29.0191650390625,0.7324,0.4289,-7.435294117647059
3.654,35.751,29.0191650390625,0.7324,0.4289,-7.7176470588235295
3.704,35.482,29.0191650390625,0.7321,0.4289,-7.670588235294118
3.754,35.36,29.0191650390625,0.732,0.4289,-7.670588235294118
3.804,34.969,29.0191650390625,0.7314,0.4289,-7.670588235294118
3.854,34.945,27.4505615234375,0.7301,0.4289,-7.670588235294118
3.904,34.628,27.4505615234375,0.7296,0.4289,-7.623529411764705
3.954,34.505,27.4505615234375,0.7285,0.4289,-7.623529411764705
4.004,33.846,27.4505615234375,0.7272,0.4289,-7.7176470588235295
4.054,34.017,34.50927734375,0.7266,0.4289,-7.7176470588235295
4.104,33.407,39.215087890625,0.7251,0.4289,-7.670588235294118
