time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
355,2062,0,0.7299,1084.36,22.67,1,3.49
404,2062,0,0.7301,1084.38,22.74,1,3.49
454,2062,0,0.7304,1084.41,22.78,1,3.49
504,2063,0,0.7301,1084.38,22.80,1,3.49
554,2063,0,0.7304,1084.41,22.82,1,3.49
604,2063,0,0.7301,1084.38,22.83,1,3.49
654,2063,0,0.7300,1084.37,22.83,1,3.49
704,2063,0,0.7302,1084.39,22.84,1,3.49
754,2063,0,0.7299,1084.36,22.85,1,3.49
804,2063,0,0.7301,1084.38,22.85,1,3.49
854,2062,0,0.7299,1084.36,22.85,1,3.49
904,2063,0,0.7307,1084.44,22.86,1,3.49
954,2062,0,0.7300,1084.37,22.86,1,3.49
1004,2063,0,0.7296,1084.33,22.86,1,3.49
1054,2062,0,0.7303,1084.40,22.86,1,3.49
1104,2063,0,0.7300,1084.37,22.86,1,3.49
1154,2063,0,0.7297,1084.34,22.86,1,3.49
1204,2063,0,0.7304,1084.41,22.86,1,3.49
1254,2063,0,0.7304,1084.41,22.86,1,3.49
1304,2063,0,0.7296,1084.33,22.86,1,3.49
1354,2063,0,0.7301,1084.38,22.86,1,3.49
1404,2063,0,0.7296,1084.33,22.87,1,3.49
1454,2063,0,0.7301,1084.38,22.87,1,3.49
1504,2063,0,0.7297,1084.34,22.87,1,3.49
1554,2062,0,0.7300,1084.37,22.87,1,3.49
1604,2062,0,0.7299,1084.36,22.87,1,3.49
1654,2063,0,0.7301,1084.38,22.87,1,3.49
1704,2063,0,0.7302,1084.39,22.87,1,3.49
1754,2062,0,0.7299,1084.36,22.87,1,3.49
1804,2062,0,0.7300,1084.37,22.87,1,3.49
1854,2068,-174,0.7298,1084.35,22.87,1,3.49
1904,2056,-174,0.7304,1084.41,22.87,1,3.49
1954,2035,-213,0.7301,1084.38,22.87,1,3.49
2004,2012,-214,0.7300,1084.37,22.87,1,3.49
2054,1971,-214,0.7301,1084.38,22.87,1,3.49
2104,1961,-204,0.7296,1084.33,22.87,1,3.49
2154,1933,-204,0.7301,1084.38,22.87,1,3.49
2204,1908,-201,0.7301,1084.38,22.87,1,3.49
2254,1864,-200,0.7301,1084.38,22.87,1,3.49
2304,1859,-200,0.7302,1084.39,22.87,1,3.49
2354,1836,-196,0.7308,1084.45,22.87,1,3.49
2404,1811,-196,0.7305,1084.42,22.87,1,3.49
2454,1767,-195,0.7307,1084.44,22.87,1,3.49
2504,1765,-195,0.7313,1084.50,22.87,1,3.49
2554,1738,-192,0.7307,1084.44,22.87,1,3.49
2604,1721,-192,0.7317,1084.54,22.88,1,3.49
2654,1695,-190,0.7319,1084.56,22.87,1,3.49
2704,1679,-189,0.7314,1084.51,22.87,1,3.49
2754,1659,-189,0.7320,1084.57,22.87,1,3.49
2804,1641,-194,0.7323,1084.60,22.87,1,3.49
2854,1610,-194,0.7322,1084.59,22.87,1,3.49
2904,1596,-182,0.7323,1084.60,22.87,1,3.49
2954,1586,-173,0.7324,1084.61,22.87,1,3.49
3004,1542,-173,0.7331,1084.68,22.87,1,3.49
3054,1555,-165,0.7331,1084.68,22.87,1,3.49
3104,1522,-165,0.7332,1084.69,22.87,1,3.49
3154,1534,-162,0.7326,1084.63,22.87,1,3.49
3204,1525,-160,0.7325,1084.62,22.87,1,3.49
3254,1521,-160,0.7328,1084.65,22.88,1,3.49
3304,1492,-160,0.7325,1084.62,22.87,1,3.49
3354,1502,-160,0.7321,1084.58,22.87,1,3.49
3404,1491,-159,0.7320,1084.57,22.87,1,3.49
3454,1489,-159,0.7314,1084.51,22.87,1,3.49
3504,1475,-159,0.7301,1084.38,22.87,1,3.49
3554,1479,-158,0.7296,1084.33,22.87,1,3.49
3604,1459,-158,0.7285,1084.23,22.88,1,3.49
3654,1464,-164,0.7272,1084.10,22.87,1,3.49
3704,1453,-163,0.7266,1084.04,22.87,1,3.49
3754,1448,-163,0.7251,1083.89,22.87,1,3.49
3804,1432,-163,0.7236,1083.75,22.87,1,3.49
3854,1431,-163,0.7214,1083.53,22.87,1,3.49
3904,1418,-162,0.7201,1083.41,22.88,1,3.49
3954,1413,-162,0.7176,1083.16,22.88,1,3.49
4004,1386,-164,0.7152,1082.93,22.88,1,3.49
4054,1393,-164,0.7135,1082.76,22.88,1,3.49
4104,1368,-163,0.7107,1082.49,22.87,1,3.49
4154,1378,-163,0.7077,1082.19,22.87,1,3.49
4204,1371,162,0.7053,1081.96,22.88,1,3.49
4254,1333,162,0.7016,1081.60,22.87,1,3.49
4304,1394,166,0.6978,1081.23,22.88,1,3.49
4354,1401,166,0.6951,1080.96,22.88,1,3.49
4404,1412,170,0.6911,1080.57,22.88,1,3.49
4454,1434,170,0.6875,1080.22,22.88,1,3.49
4504,1454,181,0.6841,1079.89,22.88,1,3.49
4554,1470,181,0.6799,1079.48,22.88,1,3.49
4604,1491,179,0.6753,1079.03,22.88,1,3.49
4654,1512,179,0.6713,1078.63,22.88,1,3.49
4704,1541,177,0.6657,1078.09,22.88,1,3.49
4754,1558,176,0.6614,1077.67,22.88,1,3.49
4804,1583,176,0.6570,1077.24,22.88,1,3.49
4854,1630,174,0.6522,1076.77,22.88,1,3.49
4904,1630,174,0.6474,1076.30,22.88,1,3.49
4954,1638,170,0.6421,1075.78,22.88,1,3.49
5004,1669,170,0.6377,1075.35,22.88,1,3.49
5054,1685,170,0.6320,1074.79,22.88,1,3.49
5104,1715,168,0.6278,1074.38,22.88,1,3.49
5154,1721,168,0.6227,1073.88,22.88,1,3.49
5204,1759,166,0.6182,1073.44,22.88,1,3.49
5254,1766,166,0.6131,1072.94,22.88,1,3.49
5304,1796,179,0.6077,1072.42,22.88,1,3.49
5354,1795,179,0.6036,1072.02,22.88,1,3.49
5404,1831,162,0.5990,1071.57,22.88,1,3.49
5454,1828,162,0.5950,1071.17,22.88,1,3.49
5504,1879,162,0.5904,1070.72,22.88,1,3.49
5554,1872,161,0.5863,1070.32,22.88,1,3.49
5604,1893,161,0.5823,1069.93,22.88,1,3.49
5654,1897,159,0.5782,1069.53,22.88,1,3.49
5704,1924,159,0.5731,1069.03,22.88,1,3.49
5754,1941,174,0.5687,1068.60,22.88,1,3.49
5804,1956,174,0.5641,1068.15,22.88,1,3.49
5854,1969,179,0.5605,1067.80,22.88,1,3.49
5904,1998,179,0.5563,1067.39,22.88,1,3.49
5954,1997,193,0.5523,1067.00,22.88,1,3.49
6004,2026,193,0.5478,1066.56,22.88,1,3.49
6054,2048,214,0.5438,1066.17,22.88,1,3.49
6104,2063,214,0.5402,1065.82,22.88,1,3.49
6154,2088,190,0.5355,1065.36,22.88,1,3.49
6204,2142,190,0.5324,1065.05,22.88,1,3.49
6254,2161,0,0.5290,1064.72,22.88,1,3.49
6304,2167,0,0.5250,1064.33,22.89,1,3.49
6354,2170,-156,0.5220,1064.04,22.88,1,3.49
6404,2150,-156,0.5186,1063.70,22.88,1,3.49
6454,2159,-214,0.5154,1063.39,22.88,1,3.49
6504,2128,-231,0.5121,1063.07,22.88,1,3.49
6554,2100,-231,0.5096,1062.82,22.88,1,3.49
6604,2036,-218,0.5062,1062.49,22.88,1,3.49
6654,2027,-218,0.5036,1062.24,22.89,1,3.49
6704,1990,-173,0.5009,1061.97,22.88,1,3.49
6754,1970,-173,0.4985,1061.74,22.88,1,3.49
6804,1944,153,0.4958,1061.48,22.89,1,3.49
6854,1947,153,0.4930,1061.20,22.89,1,3.49
6904,1951,155,0.4908,1060.99,22.89,1,3.49
6954,1967,155,0.4891,1060.82,22.89,1,3.49
7004,1980,155,0.4870,1060.62,22.89,1,3.49
7054,1849,166,0.4849,1060.41,22.89,1,3.49
7104,2005,166,0.4832,1060.24,22.88,1,3.49
7154,1998,160,0.4806,1059.99,22.88,1,3.49
7204,2025,0,0.4795,1059.88,22.88,1,3.49
7254,2026,0,0.4774,1059.68,22.89,1,3.49
