time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_setpoint_mm
0.355,0.7299,0.4289,-0.301,0.0,50.0
0.404,0.7301,0.4289,-0.3012,0.0041,50.0
0.454,0.7301,0.4289,-0.3012,0.0,50.0
0.504,0.7301,0.4289,-0.3012,0.0,50.0
0.554,0.7301,0.4289,-0.3012,0.0,50.0
0.604,0.7301,0.4289,-0.3012,0.0,50.0
0.654,0.7301,0.4289,-0.3012,0.0,50.0
0.704,0.7301,0.4289,-0.3012,0.0,50.0
0.754,0.7301,0.4289,-0.3012,0.0,50.0
0.804,0.7301,0.4289,-0.3012,0.0,50.0
0.854,0.7301,0.4289,-0.3012,0.0,50.0
0.904,0.7301,0.4289,-0.3012,0.0,50.0
0.954,0.7301,0.4289,-0.3012,0.0,50.0
1.004,0.7301,0.4289,-0.3012,0.0,50.0
1.054,0.7301,0.4289,-0.3012,0.0,50.0
1.104,0.7301,0.4289,-0.3012,0.0,50.0
1.154,0.7301,0.4289,-0.3012,0.0,50.0
1.204,0.7301,0.4289,-0.3012,0.0,50.0
1.254,0.7301,0.4289,-0.3012,0.0,50.0
1.304,0.73,0.4289,-0.3011,0.0,50.0
1.354,0.73,0.4289,-0.3011,0.0,50.0
1.404,0.73,0.4289,-0.3011,0.0,50.0
1.454,0.73,0.4289,-0.3011,0.0,50.0
1.504,0.73,0.4289,-0.3011,0.0,50.0
1.554,0.73,0.4289,-0.3011,0.0,50.0
1.604,0.73,0.4289,-0.3011,0.0,50.0
1.654,0.73,0.4289,-0.3011,0.0,50.0
1.704,0.73,0.4289,-0.3011,0.0,50.0
1.754,0.73,0.4289,-0.3011,0.0,38.4307861328125
1.804,0.73,0.4289,-0.3011,0.0,26.27410888671875
1.854,0.73,0.4289,-0.3011,0.0,19.21539306640625
1.904,0.73,0.4289,-0.3011,0.0,18.0389404296875
1.954,0.73,0.4289,-0.3011,0.0,18.0389404296875
2.004,0.73,0.4289,-0.3011,0.0,21.96044921875
2.054,0.73,0.4289,-0.3011,0.0,21.96044921875
2.104,0.73,0.4289,-0.3011,0.0,22.35260009765625
2.154,0.73,0.4289,-0.3011,0.0,22.35260009765625
2.204,0.73,0.4289,-0.3011,0.0,22.35260009765625
2.254,0.7301,0.4289,-0.3012,0.0,22.35260009765625
2.304,0.7301,0.4289,-0.3012,0.0,22.35260009765625
2.354,0.7301,0.4289,-0.3012,0.0,22.35260009765625
2.404,0.7301,0.4289,-0.3012,0.0,22.35260009765625
2.454,0.7301,0.4289,-0.3012,0.0,22.35260009765625
2.504,0.7301,0.4289,-0.3012,0.0,22.35260009765625
2.554,0.7301,0.4289,-0.3012,0.0,22.35260009765625
2.604,0.7302,0.4289,-0.3013,0.0,22.35260009765625
2.654,0.7302,0.4289,-0.3013,0.0,19.21539306640625
2.704,0.7305,0.4289,-0.3016,0.0,19.21539306640625
2.754,0.7307,0.4289,-0.3018,0.0,19.21539306640625
2.804,0.7307,0.4289,-0.3018,0.0,23.92120361328125
2.854,0.7308,0.4289,-0.3019,0.0,27.84271240234375
2.904,0.7313,0.4289,-0.3024,0.002,28.62701416015625
2.954,0.7314,0.4289,-0.3025,0.002,31.3720703125
3.004,0.7317,0.4289,-0.3028,0.002,32.1563720703125
3.054,0.7319,0.4289,-0.303,0.004,32.1563720703125
3.104,0.732,0.4289,-0.3031,0.004,32.1563720703125
3.154,0.7322,0.4289,-0.3033,0.004,32.1563720703125
3.204,0.7323,0.4289,-0.3034,0.002,32.1563720703125
3.254,0.7323,0.4289,-0.3034,0.002,32.1563720703125
3.304,0.7324,0.4289,-0.3035,0.002,32.1563720703125
3.354,0.7324,0.4289,-0.3035,0.002,32.1563720703125
3.404,0.7324,0.4289,-0.3035,0.002,32.1563720703125
3.454,0.7324,0.4289,-0.3035,0.002,32.1563720703125
3.504,0.7324,0.4289,-0.3035,0.0,29.0191650390625
3.554,0.7324,0.4289,-0.3035,0.0,29.0191650390625
3.604,0.7324,0.4289,-0.3035,0.0,29.0191650390625
3.654,0.7324,0.4289,-0.3035,0.0,29.0191650390625
3.704,0.7321,0.4289,-0.3032,0.0,29.0191650390625
3.754,0.732,0.4289,-0.3031,0.0,29.0191650390625
3.804,0.7314,0.4289,-0.3025,0.0,29.0191650390625
3.854,0.7301,0.4289,-0.3012,0.0,27.4505615234375
3.904,0.7296,0.4289,-0.3007,-0.002,27.4505615234375
3.954,0.7285,0.4289,-0.2996,-0.006,27.4505615234375
4.004,0.7272,0.4289,-0.2983,-0.01,27.4505615234375
4.054,0.7266,0.4289,-0.2977,-0.012,34.50927734375
4.104,0.7251,0.4289,-0.2962,-0.012,39.215087890625
4.154,0.7236,0.4289,-0.2947,-0.022,39.9993896484375
4.204,0.7214,0.4289,-0.2925,-0.026,41.5679931640625
4.254,0.7201,0.4289,-0.2912,-0.026,42.352294921875
4.304,0.7176,0.4289,-0.2887,-0.026,43.9208984375
4.354,0.7152,0.4289,-0.2863,-0.03,50.0
4.404,0.7135,0.4289,-0.2846,-0.03,50.0
4.454,0.7107,0.4289,-0.2818,-0.034,50.0
4.504,0.7077,0.4289,-0.2788,-0.044,50.0
4.554,0.7053,0.4289,-0.2764,-0.048,50.0
4.604,0.7016,0.4289,-0.2727,-0.048,50.0
4.654,0.6978,0.4289,-0.2689,-0.05,50.0
4.704,0.6951,0.4289,-0.2662,-0.054,50.0
4.754,0.6911,0.4289,-0.2622,-0.056,50.0
4.804,0.6875,0.4289,-0.2586,-0.06,50.0
4.854,0.6841,0.4289,-0.2552,-0.068,50.0
4.904,0.6799,0.4289,-0.251,-0.072,50.0
4.954,0.6753,0.4289,-0.2464,-0.074,50.0
5.004,0.6713,0.4289,-0.2424,-0.076,50.0
5.054,0.6657,0.4289,-0.2368,-0.08,50.0
5.104,0.6614,0.4289,-0.2325,-0.08,50.0
5.154,0.657,0.4289,-0.2281,-0.084,50.0
5.204,0.6522,0.4289,-0.2233,-0.086,57.64617919921875
5.254,0.6474,0.4289,-0.2185,-0.088,58.8226318359375
5.304,0.6421,0.4289,-0.2132,-0.092,50.0
5.354,0.6377,0.4289,-0.2088,-0.092,50.0
5.404,0.632,0.4289,-0.2031,-0.096,50.0
5.454,0.6278,0.4289,-0.1989,-0.096,50.0
5.504,0.6227,0.4289,-0.1938,-0.096,50.0
5.554,0.6182,0.4289,-0.1893,-0.096,50.0
5.604,0.6131,0.4289,-0.1842,-0.096,56.4697265625
5.654,0.6077,0.4289,-0.1788,-0.102,58.43048095703125
